Geo Point;Geo Shape;OBJECTID_1;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.851071370372, 2.3307007099542143;"{""coordinates"": [2.330700709954214, 48.851071370372], ""type"": ""Point""}";902;781;Saint-Sulpice;;;71202;Saint-Sulpice;45120;Saint-Sulpice;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;650886.3835;6861433.6831;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Saint-Sulpice
48.87533684211653, 2.2901275088247015;"{""coordinates"": [2.290127508824702, 48.87533684211653], ""type"": ""Point""}";610;25;Argentine;;;71348;Argentine;42213;Argentine;A01534;C01371;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;647933.4302;6864157.7905;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;Argentine
48.872023810399725, 2.3005604512367213;"{""coordinates"": [2.300560451236721, 48.872023810399725], ""type"": ""Point""}";674;329;George V;;;71328;George V;43283;George V;A01534;C01371;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;648695.3653;6863782.5779;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;George V
48.83944542837951, 2.3961828864526327;"{""coordinates"": [2.396182886452633, 48.83944542837951], ""type"": ""Point""}";635;234;Daumesnil;;;71614;Daumesnil;45229;Daumesnil;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;655681.5241;6860102.2506;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Daumesnil
48.84274677979288, 2.2919124133178745;"{""coordinates"": [2.291912413317875, 48.84274677979288], ""type"": ""Point""}";687;282;Félix Faure;;;71137;Félix Faure;42984;Félix Faure;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;648031.8468;6860532.9003;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Félix Faure
48.85152370843435, 2.3751010337556164;"{""coordinates"": [2.375101033755616, 48.85152370843435], ""type"": ""Point""}";724;441;Ledru Rollin;;;71693;Ledru Rollin;43674;Ledru Rollin;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;654144.8357;6861457.2786;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Ledru Rollin
48.87048333292661, 2.3311863468516525;"{""coordinates"": [2.331186346851652, 48.87048333292661], ""type"": ""Point""}";769;608;Opéra;;;71337;Opéra;42237;Opéra;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;650940.3015;6863591.8253;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Opéra
48.80335523705089, 2.4455741010301444;"{""coordinates"": [2.445574101030144, 48.80335523705089], ""type"": ""Point""}";977;499;Maisons-Alfort-Les Juilliottes;;;70358;Maisons-Alfort Les Juilliottes;44067;Maisons-Alfort Les Juilliottes;A01541;C01378;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;659278.4619;6856062.839;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Maisons-Alfort-Les Juilliottes
48.86532271167806, 2.356729869173701;"{""coordinates"": [2.356729869173701, 48.86532271167806], ""type"": ""Point""}";611;27;Arts et Métiers;;;71293;Arts et Métiers;42230;Arts et Métiers;A01544;C01381;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;652809.2865;6863002.4359;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94;Arts et Métiers
48.86120499033039, 2.353495741491146;"{""coordinates"": [2.353495741491146, 48.86120499033039], ""type"": ""Point""}";808;721;Rambuteau;Centre Georges Pompidou;;71273;Rambuteau;44593;Rambuteau;A01544;C01381;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;652568.2853;6862546.5161;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94;Rambuteau
